"시도별","경제활동별",2024 p),2024 p),2024 p)
"시도별","경제활동별",명목,실질,실질기여도
"광주광역시","전기 전자 및 정밀기기 제조업",3881131,3978645,0.24
"광주광역시","기계 운송장비 및 기타 제품 제조업",6645947,6240266,0.31
"광주광역시","전기, 가스, 증기 및 공기 조절 공급업",526870,235122,0.15
"광주광역시","건설업",2179827,1875390,-0.03
"광주광역시","서비스업",34009174,30784750,1.26
"광주광역시","도매 및 소매업",3952353,3410355,0.00
"광주광역시","운수 및 창고업",1744334,1758003,0.24
"광주광역시","숙박 및 음식점업",1495237,1138720,-0.01
"광주광역시","정보통신업",1400401,1406884,-0.09
"광주광역시","금융 및 보험업",2990100,2674696,0.08
"광주광역시","부동산업",4539446,4470128,0.58
"광주광역시","사업서비스업",3710317,3140321,0.09
"광주광역시","전문, 과학 및 기술 서비스업",1898177,1557732,0.00
"광주광역시","사업시설 관리, 사업 지원 및 임대 서비스업",1812140,1587971,0.09
"광주광역시","공공 행정, 국방 및 사회보장 행정",3465318,3051901,0.10
"광주광역시","교육 서비스업",3375813,3112927,0.03
"광주광역시","보건업 및 사회복지 서비스업",5268716,4878162,0.26
"광주광역시","문화 및 기타서비스업",2067139,1770405,-0.03
"광주광역시","수도, 하수 및 폐기물 처리, 원료 재생업",314788,293938,-0.09
"광주광역시","예술, 스포츠 및 여가관련 서비스",775764,690156,0.11
"광주광역시","협회 및 단체, 수리 및 기타 개인 서비스업",976587,787720,-0.05
"대전광역시","지역내총생산(시장가격)",56299352,50622206,2.00
"대전광역시","순생산물세",3555059,3024885,0.15
"대전광역시","총부가가치(기초가격)",52744293,47625506,1.85
"대전광역시","농업, 임업 및 어업",49751,43014,0.00
"대전광역시","광제조업",9255962,8664958,0.66
"대전광역시","광업",1646,1112,0.00
"대전광역시","제조업",9254316,8664359,0.66
"대전광역시","음식료품 및 담배제조업",1339802,1377419,0.10
"대전광역시","섬유 의복 및 가죽 제품 제조업",115248,99576,0.03
"대전광역시","목재종이인쇄 및 복제업",477101,405005,-0.01
"대전광역시","석탄 및 석유 화학제품 제조업",1485512,1362052,0.25
"대전광역시","비금속광물 및 금속제품 제조업",980136,568605,0.14
"대전광역시","전기 전자 및 정밀기기 제조업",2854311,3075119,0.05
"대전광역시","기계 운송장비 및 기타 제품 제조업",2002206,1831865,0.11
"대전광역시","전기, 가스, 증기 및 공기 조절 공급업",626066,713770,0.17
"대전광역시","건설업",3133926,2698959,0.01
"대전광역시","서비스업",39678588,35508173,1.01
"대전광역시","도매 및 소매업",4252525,3669363,-0.11
"대전광역시","운수 및 창고업",1622108,1642475,0.27
"대전광역시","숙박 및 음식점업",1859416,1436792,0.04
"대전광역시","정보통신업",1838496,1758863,-0.13
"대전광역시","금융 및 보험업",2869232,2574334,0.08
"대전광역시","부동산업",4472094,4289067,0.39
"대전광역시","사업서비스업",7891939,6799905,-0.15
"대전광역시","전문, 과학 및 기술 서비스업",5254521,4481796,-0.30
"대전광역시","사업시설 관리, 사업 지원 및 임대 서비스업",2637418,2325764,0.15
"대전광역시","공공 행정, 국방 및 사회보장 행정",5231021,4608562,0.14
"대전광역시","교육 서비스업",3600300,3318175,0.08
"대전광역시","보건업 및 사회복지 서비스업",4177025,3893664,0.36
"대전광역시","문화 및 기타서비스업",1864432,1585861,0.05
"대전광역시","수도, 하수 및 폐기물 처리, 원료 재생업",245087,224245,0.01
"대전광역시","예술, 스포츠 및 여가관련 서비스",557710,498594,0.01
"대전광역시","협회 및 단체, 수리 및 기타 개인 서비스업",1061635,864463,0.03
"울산광역시","지역내총생산(시장가격)",93956099,81648654,3.40
"울산광역시","순생산물세",10686145,11568075,0.31
"울산광역시","총부가가치(기초가격)",83269954,69822883,3.09
"울산광역시","농업, 임업 및 어업",170711,157126,0.02
"울산광역시","광제조업",52629822,42510509,2.00
"울산광역시","광업",28237,21767,0.00
"울산광역시","제조업",52601585,42482789,2.00
"울산광역시","음식료품 및 담배제조업",293662,266016,0.02
"울산광역시","섬유 의복 및 가죽 제품 제조업",260413,226059,-0.01
"울산광역시","목재종이인쇄 및 복제업",491677,407474,0.03
"울산광역시","석탄 및 석유 화학제품 제조업",20308043,15927937,0.79
"울산광역시","비금속광물 및 금속제품 제조업",6116868,3819161,0.58
"울산광역시","전기 전자 및 정밀기기 제조업",3764362,3474164,0.43
"울산광역시","기계 운송장비 및 기타 제품 제조업",21366560,19332204,0.15
"울산광역시","전기, 가스, 증기 및 공기 조절 공급업",2541657,1323154,-0.01
"울산광역시","건설업",4119897,3491866,0.22
"울산광역시","서비스업",23807867,21454593,0.86
"울산광역시","도매 및 소매업",2198142,1896704,-0.07
"울산광역시","운수 및 창고업",2549545,2439374,0.43
"울산광역시","숙박 및 음식점업",1322668,1006746,0.01
"울산광역시","정보통신업",737906,764270,0.02
"울산광역시","금융 및 보험업",1880001,1695182,0.02
"울산광역시","부동산업",2714940,2525692,0.07
"울산광역시","사업서비스업",3328357,2803055,0.11
"울산광역시","전문, 과학 및 기술 서비스업",1806689,1452329,0.08
"울산광역시","사업시설 관리, 사업 지원 및 임대 서비스업",1521668,1345381,0.03
"울산광역시","공공 행정, 국방 및 사회보장 행정",2573246,2245614,0.06
"울산광역시","교육 서비스업",2521987,2323492,0.09
"울산광역시","보건업 및 사회복지 서비스업",2627430,2451519,0.09
"울산광역시","문화 및 기타서비스업",1353645,1194266,0.03
"울산광역시","수도, 하수 및 폐기물 처리, 원료 재생업",406756,396339,0.01
"울산광역시","예술, 스포츠 및 여가관련 서비스",405331,361844,0.01
"울산광역시","협회 및 단체, 수리 및 기타 개인 서비스업",541558,436715,0.00
"세종특별자치시","지역내총생산(시장가격)",17360795,15601602,0.50
"세종특별자치시","순생산물세",1067816,925124,0.03
"세종특별자치시","총부가가치(기초가격)",16292979,14678139,0.47
"세종특별자치시","농업, 임업 및 어업",135242,134907,0.02
"세종특별자치시","광제조업",3580305,3356944,0.68
"세종특별자치시","광업",24583,18171,-0.03
"세종특별자치시","제조업",3555722,3339847,0.70
"세종특별자치시","음식료품 및 담배제조업",328712,295802,0.09
"세종특별자치시","섬유 의복 및 가죽 제품 제조업",33693,31016,0.01
"세종특별자치시","목재종이인쇄 및 복제업",276254,234395,0.00
"세종특별자치시","석탄 및 석유 화학제품 제조업",1066814,1034781,0.00
"세종특별자치시","비금속광물 및 금속제품 제조업",460956,327524,0.01
"세종특별자치시","전기 전자 및 정밀기기 제조업",1110508,1176025,0.50
"세종특별자치시","기계 운송장비 및 기타 제품 제조업",278785,256538,0.10
"세종특별자치시","전기, 가스, 증기 및 공기 조절 공급업",370661,306511,0.46
"세종특별자치시","건설업",1218927,1051606,-1.19
"세종특별자치시","서비스업",10987844,9806728,0.51
"세종특별자치시","도매 및 소매업",427708,369055,0.05
"세종특별자치시","운수 및 창고업",303711,307383,0.14
"세종특별자치시","숙박 및 음식점업",352540,268934,-0.01
"세종특별자치시","정보통신업",273088,254803,0.09
"세종특별자치시","금융 및 보험업",555457,500390,-0.05
"세종특별자치시","부동산업",1051530,1034776,-0.17
